feature,mean_abs_shap,rank,model_name,model_mode
tenure_x_projects,1.0333973,1,xgb_weighted,operational
last_evaluation,0.90818477,2,xgb_weighted,operational
average_monthly_hours,0.8734131,3,xgb_weighted,operational
number_project,0.85190964,4,xgb_weighted,operational
project_intensity,0.5168315,5,xgb_weighted,operational
career_stall_flag,0.3980928,6,xgb_weighted,operational
tenure,0.3439993,7,xgb_weighted,operational
salary_level,0.2810501,8,xgb_weighted,operational
work_accident,0.25002816,9,xgb_weighted,operational
department_sales,0.1426848,10,xgb_weighted,operational
undervalued_flag,0.13396975,11,xgb_weighted,operational
department_support,0.061747022,12,xgb_weighted,operational
department_product_mng,0.052511692,13,xgb_weighted,operational
overworked,0.050597213,14,xgb_weighted,operational
department_RandD,0.034536235,15,xgb_weighted,operational
department_accounting,0.030012064,16,xgb_weighted,operational
department_hr,0.027653262,17,xgb_weighted,operational
department_technical,0.025148658,18,xgb_weighted,operational
department_management,0.017060006,19,xgb_weighted,operational
department_IT,0.015046506,20,xgb_weighted,operational
department_marketing,0.014894907,21,xgb_weighted,operational
promotion_last_5years,0.010321373,22,xgb_weighted,operational
